"GWAS.Analysis"	"Phenotype"	"Gene.based.Analysis1"	"Phenotype.1"	"Gene.based.Analysis"
"1"	"SLC44A3"	"MI"	"ANXA4"	"MI"	"ANXA4"
"2"	"ANXA4"	"MI"	"PDLIM5"	"MI"	"PDLIM5"
"3"	"PDLIM5"	"CAD/MI"	"FHL5"	"MI"	"FHL5"
"4"	"FHL5"	"CAD/MI"	"ORC4"	"CAD"	"ORC4"
"5"	"ERG"	"CAD"	"C14orf159"	"CAD"	"C14orf159"
"6"	"SKI"	"CAD"	"MYH11"	"CAD"	"MYH11"
"7"	"PRDM16"	"CAD"	"THOC5"	"CAD"	"THOC5"
"8"	"FHL3"	"CAD"	"SYN3"	"CAD"	"SYN3"
"9"	"PCSK9"	"CAD"	"EHBP1"	"CAD/MI"	"EHBP1"
"10"	"PPAP2B"	"CAD"	"KLF2"	"MI"	"KLF2"
"11"	"CELSR2"	"CAD"	"SKI"	"CAD"	"SKI"
"12"	"NGF-TSPAN2"	"CAD"	"INPP5B"	"CAD"	"INPP5B"
"13"	"TDRKH"	"CAD"	"MSL2"	"CAD/MI"	"MSL2"
"14"	"IL6R"	"CAD"	"PCCB"	"CAD"	"PCCB"
"15"	"NME7*"	"CAD"	"STAG1"	"CAD"	"STAG1"
"16"	"DDX59-CAMSAP2"	"CAD"	"FAM46A"	"CAD/MI"	"FAM46A"
"17"	"LMOD1"	"CAD"	"CENPW"	"CAD"	"CENPW"
"18"	"SERTAD4-HHAT"	"CAD"	"BMP1"	"CAD/MI"	"BMP1"
"19"	"MIA3"	"CAD"	"HTRA1"	"CAD"	"HTRA1"
"20"	"AGT"	"CAD"	"ARHGAP42"	"CAD"	"ARHGAP42"
"21"	"LINC00954-WDR35-TTC32"	"CAD"	"CMIP"	"CAD"	"CMIP"
"22"	"APOB"	"CAD"	"NEK8"	"MI"	"NEK8"
"23"	"ABCG8"	"CAD"	"TRAF4"	"CAD"	"TRAF4"
"24"	"PRKCE"	"CAD"	"ANKRD13B"	"CAD"	"ANKRD13B"
"25"	"MAT2A"	"CAD"	"CORO6"	"CAD/MI"	"CORO6"
"26"	"ZEB2-LOC101928455"	"CAD"	"TTLL6"	"CAD"	"TTLL6"
"27"	"GRB14-FIGN"	"CAD"	"SNF8"	"CAD"	"SNF8"
"28"	"CALCRL"	"CAD"	"IGF2BP1"	"CAD/MI"	"IGF2BP1"
