PC1_bicor	PC1_pvalue	PC2_bicor	PC2_pvalue
adiposity	0.101404090927659	0.0532364763333359	-0.212675318535897	4.30405273677703e-05
adiposity coefficient of variation	-0.0124986800806458	0.81063045093056	-0.088407761275922	0.0894832984602639
average adiposity (liver)	-0.0535578302068892	0.309528226350772	0.0401945914651278	0.445810874283873
average fat mass (liver)	0.0295014819729702	0.571614492690447	0.0124066333041247	0.811998974526873
average lean mass (liver)	0.128689367052556	0.0132372197814748	-0.0707672303003233	0.174358224305324
average total mass (liver)	0.108884134833688	0.0362983405089596	-0.0480976900662134	0.356225536430623
Body Weight	0.193033173541328	0.000211327063610191	-0.0775836558166523	0.139585006713835
CE(C16:0)	-0.41586751631563	1.16004377590371e-06	-0.0453682078779864	0.612520081249378
CE(C16:1)	-0.396568547993748	9.58252750440454e-06	0.259967699566751	0.00464566122268174
CE(C18:0)	-0.0269260821804364	0.764721405773045	-0.190259158897473	0.0328508569138047
CE(C18:1)	-0.326299677219783	0.000181215336875079	-0.153848750679722	0.0841780969095954
CE(C18:2)	-0.286374318411622	0.00109848658318058	-0.0425940328469175	0.634444732971396
CE(C20:4)	-0.0960127539682883	0.282915241445155	-0.108090522297063	0.226424009972654
CE(C20:5)	0.174093740169415	0.0582808397669363	-0.251738576112143	0.0057486965387598
Cer(C34:0)	0.0413587337892185	0.644311900718611	-0.106432490959536	0.233669224477048
Cer(C34:1)	0.249563887876064	0.00537383927518051	-0.0138828619796086	0.878868586057304
Cer(C34:2)	0.235699324024909	0.00925318559981925	-0.125112482225819	0.171521579083155
Cer(C36:0)	0.363504547514612	0.000316794825619887	-0.0926581444046929	0.374407896634227
Cer(C36:1)	0.362473948346635	3.26651187873503e-05	-0.0288961732256243	0.749051566687965
Cer(C38:0)	0.142168175707151	0.134837743128154	-0.0560867573621049	0.556955105187933
Cer(C38:1)	0.340719492894911	0.000681630853686743	-0.0299280147094427	0.772231613316871
Cer(C38:2)	-0.156331674895163	0.54905404559447	-0.115791524625189	0.658091649907538
Cer(C40:0)	0.222240991496537	0.0409274669368767	-0.0872697246236674	0.427084270624456
Cer(C40:1)a	0.266056184728695	0.0885579838891417	-0.0113211483683842	0.943272446918353
Cer(C40:1)b	0.32925354860696	0.000200368444958364	-0.129861073246207	0.152260274543185
Cer(C40:2)a	0.251940234683396	0.0224093015090933	-0.29524666630017	0.0070846227534415
Cer(C40:2)b	-0.0367275449917942	0.696767324074103	-0.0163152404813818	0.862602978065754
Cer(C40:3)	0.225234268342873	0.368860253564466	-0.203296597972484	0.418460238582649
Cer(C42:0)	0.068300936283559	0.582876317439168	0.0694043576330786	0.576788540732947
Cer(C42:1)a	0.146793492712849	0.174858352515149	0.215269861535572	0.0452412353677806
Cer(C42:1)b	0.0989575017183895	0.40822616524037	-0.142651528912547	0.231939109462698
Cer(C42:2)a	0.382184363876954	3.78657026593861e-05	-0.0424953372753575	0.659355851056222
Cer(C42:2)b	-0.10672968883856	0.358801053005254	0.0854439807613149	0.463020745435011
Cer(C42:3)a	0.0767068503566925	0.543634123362855	-0.0904934324617081	0.473437032072626
Cer(C42:3)b	-0.0747703002799985	0.452877608545482	0.175768796958761	0.0757425521141295
Cer(C42:4)	0.222316133291139	0.0396546121831158	-0.0751821588683007	0.491463509642013
Cer(C42:5)	0.39663263858807	0.000675610538632134	0.0117383453752232	0.923167155841627
Cer(C42:7)	0.225547796857426	0.0391251920109726	-0.049786981650315	0.652892807971722
CL(C68:2)	-2.57711012052013e-05	0.999845436921053	-0.184827752125519	0.161088439247878
CL(C68:3)	0.221684171370454	0.0887013733451842	-0.0967665867664475	0.462027818927793
CL(C68:4)	0.107725146671744	0.616348190604325	0.0144478593630921	0.946578101204628
CL(C68:5)	0.0506752008318752	0.772507615139564	-0.230404485795547	0.18299655054467
CL(C68:6)	-0.487399583931547	0.153035410285749	0.00494003526105277	0.989193936579635
