trait_name	PC1_bicor	PC1_pvalue	PC2_bicor	PC2_pvalue
MONO %	0.0813998751903837	0.122117059507685	-0.156521220110484	0.00282517976335032
Glucose (pre-bleed)	0.0436387575123904	0.422507972680279	-0.20907238699571	0.000102788037937523
adiposity	0.10136451739231	0.0533299562355963	-0.213588261371269	3.98244519493446e-05
total cholesterol (liver)	0.156703126119644	0.0155316876395692	-0.132901016744886	0.040501368975308
Glucose	0.159075216566716	0.00233510959950502	-0.131560684455628	0.0119942487828321
triglycerides	0.150516388693167	0.0039994267812771	-0.163770863426753	0.0017185727855153
Gonadal Fat	0.135743657047619	0.00884695380033311	-0.161902436713791	0.00175639086091126
fat mass	0.134656187178912	0.0101123458218152	-0.157630004288627	0.00256199881346385
Body Weight	0.193150541707193	0.00020942080295145	-0.078656488968033	0.134177413751958
Liver Total	0.162933245566936	0.00181624826543029	-0.0739227891698689	0.159299247385424
HOMA-IR	0.150719018267107	0.00361547882471398	-0.0977566424516039	0.0599610862662096
GRAN %	0.0594660187600095	0.259107114237902	-0.0825529625550574	0.116899271988024
WBC Time	0.113388619879002	0.0326987415707813	-0.102528463351122	0.0535993737988565
unesterified cholesterol	0.089459170326701	0.106365469062961	-0.112383526303358	0.0422648357631612
Spleen	0.112399670049197	0.032043214816834	-0.0177556326439813	0.735651568991274
Insulin	0.101651819066031	0.0526543898871571	-0.0073288636711152	0.889176151376144
phospholipids (liver)	0.145080775646716	0.0252035334275951	-0.0204014947885223	0.754193690439725
IP-10	0.163989744956805	0.00221271029843836	-0.0224092537739794	0.67786377255695
average lean mass (liver)	0.130104958820481	0.0123704838796299	-0.0732533526208625	0.160240262817461
LiverNMR	0.11465835897747	0.0272225992010872	-0.0530607710891933	0.308064362134146
average total mass (liver)	0.110420132493893	0.0339729302497449	-0.0505430739903488	0.332931708557453
Kidney (left)	0.257444651117705	6.3910436964614e-07	0.136254590409144	0.00924713018277047
triglycerides (liver)	0.293714881601128	4.03777696680247e-06	-0.120113869321574	0.0643173193804807
free fatty acids	0.304306128808263	1.96027980208733e-08	-0.140938653078305	0.0107228768503879
LiverMetab	0.22020218258753	1.87123413997327e-05	-0.12828319618083	0.0134060729286596
MIG	0.257632156286602	1.19100222437102e-06	-0.102287577948433	0.057333196920664
RBC Time	0.314571164946648	6.4186289162889e-10	-0.0384700554611528	0.461273694678468
lean mass	0.261097019292467	4.36792021564234e-07	0.0354549311766276	0.500106361620644
MCP-1	-0.213710125946704	6.14314903607068e-05	0.152808490352748	0.00438754053807425
HDL (pre-bleed)	-0.178143927174137	0.000969806683847813	0.1178047867881	0.0298721940798228
HDL	-0.207993836529308	6.3762996288777e-05	0.114882564891006	0.0284126251933465
RANTES	-0.264213835594167	6.17213744581838e-07	0.158987346778464	0.00302173421249076
LiverLipids	-0.299745541431575	2.68004388243042e-08	0.105065259948482	0.0561909452665025
fibrosed area	-0.269187574192152	1.79818745367474e-05	0.114797256563094	0.0717048929447063
MCH	0.107780941943015	0.0404079826903699	0.124990597241365	0.0173492797030247
PLT	0.121526998388413	0.0207341698711016	0.137096945468406	0.00900750642114112
LiverResidual	0.0610070332985643	0.241114655337438	0.111758989355396	0.0313885130656694
IL-12 (p40)	0.0178769722199996	0.740377072127428	0.077433954511037	0.150632379514488
G-CSF	-0.0620728769296214	0.24950408742961	0.194112158776038	0.000280975830212796
RDWa	0.0399331534981908	0.448777607205225	0.176831614875588	0.000726218461671705
LiverHist	0.00161421906935106	0.976909521371427	0.179774728986206	0.00115422825107527
RBC	0.00832958505560401	0.874507394905496	0.156949596537209	0.00274966217129234
HCT	0.0473369660307442	0.369166462708773	0.233905706331907	6.87537280317542e-06
HGB	0.0748473300664685	0.155277094825835	0.202188235153271	0.000107208642573675
MCV	0.0819596100677708	0.119562023315319	0.163311861043617	0.00182436148574925
free fatty acids (pre-bleed)	-0.120803985430083	0.0279793702817339	0.015712026796117	0.775803915128803
MIP-1b	-0.132435207642309	0.0136863671166727	0.0269523513816695	0.617343191247574
MIP-1a	-0.167019378692274	0.0018243963791015	0.0178985167002882	0.740075442908734
free fluid	-0.149616339725183	0.00427882146441167	0.0432377378278082	0.411456918704621
TNFa	-0.147776824564143	0.00588723754041334	0.0918786231443753	0.0879210247496327
IL-1a	-0.102361813703802	0.0571517104721297	0.0656841083450053	0.222961821167939
KC	-0.105466250294529	0.0499775184129341	0.0558149837371538	0.300543351477557
LYM %	-0.0425192489677612	0.419925331096757	0.0880387743678689	0.0944242652692194
IL-2	-0.0246557771458877	0.647646741792984	0.101803887534903	0.0585274073342101
Insulin (pre-bleed)	-0.0361919811071365	0.68151213168217	0.0461293784879922	0.600839719874865
LiverRNA	-0.0626943617887566	0.232794113745278	0.0296871555702212	0.572365482912068
average adiposity (liver)	-0.0532802452128207	0.312046099843602	0.0395192328892292	0.453497416330451
RDW %	-0.0545062559841346	0.301026518356341	-0.0305922091977806	0.561793762213009
unesterified cholesterol (pre-bleed)	-0.0487697693399662	0.376449037675575	-0.0184106977973638	0.738595049461296
total cholesterol (pre-bleed)	-0.102872021433151	0.0581042139831571	-0.00228604095889199	0.966500824974329
VLDL+LDL (pre-bleed)	-0.0923402516112304	0.0891246143193688	-0.0359653819959435	0.508650480687298
IL-7	-0.0803194882380971	0.135953037707911	-0.0140304634087538	0.794825141687251
Liver collagen	-0.108614438339276	0.27241521875327	-0.118916929440498	0.229234178084957
triglycerides (pre-bleed)	-0.0758415780037754	0.162922429378909	-0.0854119800171363	0.115952182769623
IL-13	-0.0464936228328301	0.388595014018265	-0.120693116522227	0.0247610312786827
MCHC	0.00991615178131713	0.85086115846063	-0.117634747406269	0.0252087174632332
lesion area	-0.0210480532157245	0.696011360992906	-0.0803474391748733	0.135248217958305
adiposity coefficient of variation	-0.0116860924821476	0.822968555727399	-0.0876966582834174	0.0925447107674029
VLDL+LDL	0.0191031624438473	0.716422112741652	-0.0811633818616957	0.122171318008675
MONO	0.0146157504103064	0.781675174312833	-0.0604919829767675	0.250964644960341
total cholesterol	0.00804479026139146	0.878430308767139	-0.0709593159706995	0.1767388823357
GM-CSF	0.0524409070365103	0.33075378136971	0.0205824482177571	0.702824382298923
IL-6	0.0209381704079822	0.697937860685171	0.0116817351892599	0.828587193174679
average fat mass (liver)	0.0314595081025401	0.546897128028367	0.00998008833329906	0.848474235759666
IL-4	0.0316011347256629	0.557986890432406	-0.0056542084337941	0.916538798385699
M-CSF	0.0404120534315695	0.453680290151054	0.00326331088330773	0.951772077302496
MIP-2	0.040933714191951	0.447868163520027	0.00815225568422014	0.879901183454239
GRAN	-0.00343967275230655	0.948000358937239	-0.0347475542103727	0.509876600642581
IL-15	0.00199641066776183	0.970484177574001	-0.0461398959060332	0.392218156504245
LiverSpare	0.00941096438969007	0.860736210652341	-0.0108102604703372	0.840288972280812
IL-1b	0.010540778137817	0.845106658803571	-0.025348544226231	0.638441169297291
IFNr	0.000324664781614475	0.995198949949347	0.0241798311324652	0.654002515958738
IL-12 (p70)	0.00818124446361025	0.879651586833082	0.00691747520344117	0.898131861530762
unesterified cholesterol (liver)	-0.0197462479800711	0.761847184390497	-0.0198085176752912	0.761118844975795
